Periode;Jateng;Jabar;Jatim;Sulsel
Jan-17;9520;10000;9438;9286
Feb-17;9498;10168;9295;9554
Mar-17;9375;10118;9300;9440
Apr-17;9429;10000;9394;8931
May-17;9441;10000;9400;8875
Jun-17;9440;10000;9400;8967
Jul-17;9440;10000;9400;8960
Aug-17;9447;10000;9400;8939
Sep-17;9724;10000;9433;8907
Oct-17;9956;10000;9400;8966
Nov-17;9929;10000;9439;9280
Dec-17;10571;10433;9422;9296
Jan-18;11561;11945;10355;9765
Feb-18;11460;12316;10663;10149
Mar-18;11336;11981;10548;9968
Apr-18;10781;12021;10435;10405
May-18;11250;12265;12452;10500
Jun-18;9562;10565;9915;8925
Jul-18;11250;12580;11670;10527
Aug-18;11250;12786;11500;10800
Sep-18;11250;12900;11500;10800
Oct-18;11250;12900;11500;10791
Nov-18;11250;12888;11500;9771
Dec-18;10762;11688;10925;10242
Jan-19;8433;8995;8433;7883
Feb-19;10925;11815;10925;10212
Mar-19;10952;11881;10952;10238
Apr-19;10900;11598;10925;9675
May-19;11250;12150;11500;10750
Jun-19;9562;10328;9775;9138
Jul-19;11250;12137;11500;9815
Aug-19;11261;12193;11500;9773
Sep-19;11250;12400;11500;10750
Oct-19;11250;12400;11500;10759
Nov-19;10714;12400;11500;10238
Dec-19;10688;12400;11500;10760
Jan-20;9946;11861;11098;9270
Feb-20;11500;12500;11650;8968
Mar-20;11068;12050;11120;10541
Apr-20;12000;12750;11650;10514
May-20;11289;11333;10211;9378
Jun-20;11400;12750;11095;10605
Jul-20;11400;12750;11136;10750
Aug-20;11400;12750;11642;10750
Sep-20;11400;12741;11650;10750
Oct-20;11400;12650;11650;10750
Nov-20;11400;12650;11650;10750
Dec-20;11400;12650;11650;10700
Jan-21;10830;12650;11650;10700
Feb-21;11400;12650;11650;10700
Mar-21;11400;12650;11650;10700
Apr-21;11400;12650;11650;10700
